2015-10-06 15:03:16Z,activity,played_letter_sounds,in,NA
2015-10-06 15:03:17Z,activity,change_letter,t,0
2015-10-06 15:03:23Z,activity,change_letter,h,1
2015-10-06 15:03:25Z,activity,change_letter,i,2
2015-10-06 15:03:27Z,activity,change_letter,n,3
2015-10-06 15:03:28Z,activity,change_letter, ,3
2015-10-06 15:03:34Z,activity,change_letter,o,4
2015-10-06 15:03:36Z,activity,change_letter, ,4
2015-10-06 15:03:40Z,activity,change_letter, ,0
2015-10-06 15:03:43Z,activity,change_letter,t,0
2015-10-06 15:03:46Z,activity,change_letter,h,1
2015-10-06 15:03:48Z,activity,change_letter,i,1
2015-10-06 15:03:50Z,activity,change_letter,h,1
2015-10-06 15:03:58Z,activity,change_letter,i,1
